1946;Ethos mémoriel;"Aux tirailleurs sénégalais morts pour la France"
1999;Ethos de genre;53 cm
2011;Ethos de la présence;À cause d'elle
1983;Ethos de la présence;Aïda ou la méprise
2022;Ethos cosmopolite;Ajar - Paris
2020;Ethos de genre;Aline et les hommes de guerre
1994;Ethos de la migrance ;Assèze l’Africaine
2006;Ethos de la présence;Aux États-Unis d'Afrique 
1967;Ethos d'opposition;Aux poètes
2010;Ethos de genre;Bandado. La fille aux paupières noires
2022;Ethos cosmopolite;Bardot 18
2009;Ethos de la migrance ;Black Bazar 
2020;Ethos de la migrance ;Black Manoo 
1998;Ethos de la migrance ;Bleu Blanc Rouge 
2019;Ethos de la migrance ;Boy Diola
1983;Ethos environnemental;Braconniers, gardes-faune, touristes et compagnie
1987;Ethos de genre;C'est le soleil qui m'a brûlée
2010;Ethos de genre;Celles qui attendent
1994;Ethos de genre;Cendres et braises
2013;Ethos de la présence;Ceux qui sortent dans la nuit
2021;Ethos cosmopolite;Clandestinement vôtre 
2022;Ethos de genre;Comme une reine
2016;Ethos mémoriel;Confidences
2022;Ethos de la migrance ;Consolée 
1983;Ethos environnemental;Cycle de sécheresse
2018;Ethos de genre;De purs hommes
2014;Ethos cosmopolite;Debout-payé 
2005;Ethos de la migrance ;Des rires sur une larme 
2022;Ethos d'opposition;Deux secondes d’air qui brûle
2022;Ethos mémoriel;Dis-moi pour qui j’existe ?
2023;Ethos de la présence;Djinns
2018;Ethos d'opposition;Empreintes de crabe
1998;Ethos d'opposition;En attendant le vote des bêtes sauvages
2023;Ethos d'opposition;Évocation d’un mémorial à Venise
1945;Ethos de la présence;Femme noire
2008;Ethos de la migrance ;Filles de Mexico 
2018;Ethos de la migrance ;Frère d'âme 
2018;Ethos d'opposition;Gouttes de larmes
2022;Ethos de la présence;Habiller le ciel
1976;Ethos de la migrance ;Ici s’achève le voyage
2019;Ethos de la migrance ;Impossible de rester
1982;Ethos d'opposition;Jazz et vin de palme
2018;Ethos de genre;Je suis quelqu’un
1945;Ethos mémoriel;Joal
1988;Ethos de genre;Kesso, Princesse peuhle
2006;Ethos cosmopolite;Kétala
2000;Ethos d'opposition;L’Aîné des orphelins
2017;Ethos de la présence;L’Appel de la lune
1982;Ethos de la présence;L’appel des arènes
2011;Ethos de la migrance ;L'autre nom 
1961;Ethos de la migrance ;L’aventure ambiguë
1983;Ethos d'opposition;L’exil et le combat
2020;Ethos de la migrance ;L’Odyssée des oubliés
2010;Ethos mémoriel;L'or des rivières
2018;Ethos d'opposition;La Belle de Casa
-1996;Ethos de la présence;La Controverse du tambour perdu 
