EthosP;EthosS;Titre
Ethos de la présence;Ethos cosmopolite;Poèmes nègres sur des airs africains
Ethos de la présence;Ethos cosmopolite;Rouge impératrice
Ethos de la migrance ;Ethos cosmopolite;Tels des astres éteints 
Ethos de la migrance ;Ethos cosmopolite;Consolée 
Ethos de la présence;Ethos cosmopolite;Tu as fait de moi celui qui enjambe le monde
Ethos de genre;Ethos cosmopolite;Je suis quelqu’un
Ethos de la migrance ;Ethos cosmopolite;Les lumières d'Oujda
Ethos de genre;Ethos d'opposition;C'est le soleil qui m'a brûlée
Ethos mémoriel;Ethos d'opposition;La Saison de l’ombre
Ethos de la présence;Ethos d'opposition;Ceux qui sortent dans la nuit
Ethos mémoriel;Ethos d'opposition;Le Terroriste noir
Ethos mémoriel;Ethos d'opposition;Murambi, le livre des ossements
Ethos de la présence;Ethos d'opposition;Le mur et les maisons
Ethos environnemental;Ethos d'opposition;Cycle de sécheresse
Ethos de la présence;Ethos d'opposition;Aïda ou la méprise
Ethos de la migrance ;Ethos d'opposition;Sous le regard des étoiles…
Ethos de la présence;Ethos d'opposition;Le Soleil sans se brûler
Ethos environnemental;Ethos d'opposition;Les eaux noires
Ethos mémoriel;Ethos d'opposition;Rwanda 94 : l'ange et les furies
Ethos d'opposition;Ethos de genre;La Vie et demie
Ethos d'opposition;Ethos de genre;Les Bouts de bois de Dieu : Banty Mam Yall
Ethos d'opposition;Ethos de genre;Les Soleils des indépendances 
Ethos mémoriel;Ethos de genre;Reine Pokou. Concerto pour un sacrifice
Ethos de la présence;Ethos de genre;Loin de Douala
Ethos d'opposition;Ethos de genre;Une journée dans la vie d'Augustine Amaya
Ethos de la présence;Ethos de genre;Taaw
Ethos de la migrance ;Ethos de genre;Un arc-en-ciel dans les ténèbres 
Ethos d'opposition;Ethos de genre;Pour le bonheur des miens 
Ethos environnemental;Ethos de genre;Sans parole ni poignée de main
Ethos de la présence;Ethos de genre;Le Duel des grands-mères
Ethos d'opposition;Ethos de genre;La Belle de Casa
Ethos de la présence;Ethos de genre;Un cri dans la nuit
Ethos de la présence;Ethos de genre;Habiller le ciel
Ethos de la migrance ;Ethos de genre;Impossible de rester
Ethos mémoriel;Ethos de genre;Perdus
Ethos d'opposition;Ethos de genre;Madame la Présidente
Ethos d'opposition;Ethos de genre;La grève des Bàttu ou les déchets humains
Ethos de la présence;Ethos de genre;L’appel des arènes
Ethos d'opposition;Ethos de genre;La Saison des prunes
Ethos de genre;Ethos de la migrance ;53 cm
Ethos de genre;Ethos de la migrance ;Le Mal de peau
Ethos cosmopolite;Ethos de la migrance ;Ajar - Paris
Ethos cosmopolite;Ethos de la migrance ;Clandestinement vôtre 
Ethos mémoriel;Ethos de la migrance ;Le rêve du pêcheur 
Ethos mémoriel;Ethos de la migrance ;Joal
Ethos de la présence;Ethos de la migrance ;Le Moabi Cinéma 
Ethos d'opposition;Ethos de la migrance ;Évocation d’un mémorial à Venise
Ethos mémoriel;Ethos de la migrance ;Un si beau diplôme 
Ethos de la présence;Ethos de la migrance ;Aux États-Unis d'Afrique 
Ethos d'opposition;Ethos de la présence;En attendant le vote des bêtes sauvages
Ethos d'opposition;Ethos de la présence;Le pauvre Christ de Bomba
Ethos de la migrance ;Ethos de la présence;L’aventure ambiguë
Ethos cosmopolite;Ethos de la présence;Le ventre de l'Atlantique 
Ethos de genre;Ethos de la présence;Les jours viennent et passent
Ethos cosmopolite;Ethos de la présence;Kétala
Ethos de la migrance ;Ethos de la présence;Bleu Blanc Rouge 
Ethos cosmopolite;Ethos de la présence;Mémoires de Porc-épic 
Ethos de la migrance ;Ethos de la présence;Black Bazar 
Ethos de la migrance ;Ethos de la présence;Les lieux qu'habitent mes rêves
Ethos d'opposition;Ethos de la présence;Jazz et vin de palme
Ethos environnemental;Ethos de la présence;Braconniers, gardes-faune, touristes et compagnie
Ethos de la migrance ;Ethos de la présence;Solo d'un revenant 
Ethos de la migrance ;Ethos de la présence;La fabrique de cérémonies 
Ethos de la migrance ;Ethos de la présence;Le Paradis du Nord
Ethos d'opposition;Ethos de la présence;Deux secondes d’air qui brûle
Ethos de genre;Ethos de la présence;Magnanime
Ethos de genre;Ethos de la présence;Bandado. La fille aux paupières noires
Ethos environnemental;Ethos de la présence;La Foudre sous scellés
Ethos de genre;Ethos de la présence;Kesso, Princesse peuhle
Ethos mémoriel;Ethos de la présence;Soundjata ou l'épopée mandingue
Ethos mémoriel;Ethos de la présence;Souffles
Ethos mémoriel;Ethos de la présence;Dis-moi pour qui j’existe ?
Ethos de genre;Ethos de la présence;Les Sentiers de la Rédemption
Ethos de genre;Ethos de la présence;Comme une reine
Ethos de genre;Ethos de la présence;Quand les racines chantent
Ethos mémoriel;Ethos de la présence;Confidences
Ethos de genre;Ethos de la présence;Celles qui attendent
Ethos de la migrance ;Ethos de la présence;Assèze l’Africaine
Ethos de la présence;Ethos environnemental;Quêtes
Ethos d'opposition;Ethos environnemental;L’exil et le combat
Ethos cosmopolite;Ethos environnemental;Bardot 18
Ethos de la présence;Ethos mémoriel;Légendes africaines
Ethos de la migrance ;Ethos mémoriel;Frère d'âme 
Ethos cosmopolite;Ethos mémoriel;Debout-payé 
Ethos de la migrance ;Ethos mémoriel;Les pieds sales 
Ethos de la présence;Ethos mémoriel;Les frasques d’Ébinto
Ethos d'opposition;Ethos mémoriel;Le Feu des origines
Ethos de la migrance ;Ethos mémoriel;Boy Diola
Ethos de genre;Ethos mémoriel;Aline et les hommes de guerre
Ethos d'opposition;Ethos mémoriel;Empreintes de crabe
Ethos de la migrance ;Ethos mémoriel;Vous, les ancêtres
Ethos mémoriel;Ethos mémoriel;Le Baroud d’honneur
Ethos de la présence;Ethos de la présence;Le bateau de Cuffe et Cinqué
Ethos d'opposition;Ethos d'opposition;Rendez-vous PK6
Ethos de la présence;Ethos de la présence;Perdre le corps
Ethos d'opposition;Ethos d'opposition;Les culs-reptiles
Ethos d'opposition;Ethos d'opposition;Rendez-vous avec l’heure qui blesse
Ethos de la présence;Ethos de la présence;L’Appel de la lune
Ethos de la présence;Ethos de la présence;Le dieu perdu dans l’herbe
Ethos mémoriel;Ethos mémoriel;Le Royaume de Nyoka
Ethos mémoriel;Ethos mémoriel;L'or des rivières
Ethos de la présence;Ethos de la présence;Femme noire
Ethos mémoriel;Ethos mémoriel;"""Aux tirailleurs sénégalais morts pour la France"""
Ethos d'opposition;Ethos d'opposition;Aux poètes
Ethos d'opposition;Ethos d'opposition;La Retour de l’enfant soldat 
Ethos mémoriel;Ethos mémoriel;Le roi de Kahel
Ethos de la présence;Ethos de la présence;Le Petit Prince de Belleville
Ethos de la migrance ;Ethos de la migrance ;Ici s’achève le voyage
Ethos d'opposition;Ethos d'opposition;Les Crapauds-brousse
Ethos d'opposition;Ethos d'opposition;Le Pleurer-Rire
Ethos d'opposition;Ethos d'opposition;Terre ceinte
Ethos d'opposition;Ethos d'opposition;Mathématiques congolaises
Ethos d'opposition;Ethos d'opposition;L’Aîné des orphelins
Ethos d'opposition;Ethos d'opposition;La Dent de Lumumba : Régicide contre la colonie
Ethos d'opposition;Ethos d'opposition;Le Temps de Tamango
Ethos de genre;Ethos de genre;Une si longue lettre
Ethos de genre;Ethos de genre;Le Baobab fou
Ethos de genre;Ethos de genre;Cendres et braises
Ethos de genre;Ethos de genre;Riwan ou le chemin de sable
Ethos de la migrance ;Ethos de la migrance ;La Préférence Nationale 
Ethos de genre;Ethos de genre;De purs hommes
Ethos de genre;Ethos de genre;Rencontres essentielles
Ethos de la présence;Ethos de la présence;Naïma n'a pas le sida
Ethos de la présence;Ethos de la présence;La Controverse du tambour perdu 
Ethos de la présence;Ethos de la présence;Niiwam
Ethos de la présence;Ethos de la présence;Tams-Tams et danses nocturnes
Ethos de genre;Ethos de genre;La jeunesse féminine s’organise
Ethos de la présence;Ethos de la présence;Le Clan des fauves
